,Student_ID,Age,Gender,Academic_Level,Avg_Daily_Usage_Hours,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score,Platform_Group_Messenger,Platform_Group_Others,Platform_Group_Social_Media
35,36,20,1,1,5.6,1,5.5,5,4,8,False,False,True
36,37,22,0,2,3.1,0,6.8,7,1,5,False,False,True
37,38,19,1,0,6.2,1,5.1,5,4,9,False,False,True
38,39,21,0,1,3.9,0,6.5,7,2,6,False,True,False
39,40,20,1,1,4.5,1,5.8,6,3,7,False,False,True
40,41,24,0,2,2.3,0,7.3,8,1,4,False,True,False
41,42,19,1,0,5.8,1,5.4,5,4,8,False,False,True
42,43,21,0,1,3.7,0,6.6,7,2,5,False,False,True
43,44,20,1,1,4.6,1,5.7,6,3,7,True,False,False
44,45,18,0,0,5.5,1,5.3,5,4,8,False,False,True
45,46,23,1,2,2.7,0,7.1,8,1,4,False,True,False
46,47,19,0,1,4.8,1,5.9,6,3,7,False,False,True
47,48,20,1,1,5.5,1,5.6,5,4,8,False,False,True
48,49,22,0,2,3.3,0,6.7,7,2,5,False,False,True
49,50,19,1,0,6.3,1,5.2,5,4,9,False,False,True
50,51,21,0,1,3.8,0,6.4,7,2,6,False,True,False
51,52,20,1,1,4.7,1,5.8,6,3,7,False,False,True
52,53,24,0,2,2.4,0,7.2,8,1,4,False,True,False
53,54,19,1,0,5.7,1,5.5,5,4,8,False,False,True
54,55,21,0,1,3.6,0,6.5,7,2,5,False,False,True
55,56,20,1,1,4.9,1,5.6,6,3,7,True,False,False
56,57,18,0,0,5.6,1,5.2,5,4,8,False,False,True
57,58,23,1,2,2.8,0,7.0,8,1,4,False,True,False
58,59,19,0,1,4.6,1,5.9,6,3,7,False,False,True
59,60,20,1,1,5.4,1,5.7,5,4,8,False,False,True
60,61,22,0,2,3.1,0,7.1,7,1,5,False,False,True
61,62,19,1,1,5.6,1,5.6,5,3,8,False,False,True
62,63,20,0,1,4.2,1,6.0,6,3,7,False,False,True
63,64,18,1,0,6.1,1,5.2,4,4,9,True,False,False
64,65,23,0,2,2.3,0,7.4,8,1,3,False,True,False
65,66,21,1,1,4.8,1,5.8,6,3,7,False,False,True
66,67,20,0,1,3.9,0,6.5,7,2,6,False,True,False
67,68,19,1,0,5.7,1,5.4,5,4,8,False,False,True
68,69,22,0,2,2.8,0,7.2,8,1,4,False,True,False
69,70,20,1,1,4.5,1,5.9,6,3,7,False,False,True
70,71,18,0,0,5.4,1,5.5,5,4,8,True,False,False
71,72,21,1,2,3.2,0,6.8,7,2,5,False,False,True
72,73,19,0,1,4.9,1,5.7,6,3,7,False,False,True
73,74,20,1,1,5.8,1,5.3,5,4,8,False,False,True
74,75,23,0,2,2.5,0,7.3,8,1,4,False,True,False
75,76,21,1,1,4.6,1,5.8,6,3,7,True,False,False
76,77,19,0,0,5.5,1,5.4,5,4,8,False,False,True
77,78,22,1,2,2.9,0,7.0,7,2,5,False,False,True
78,79,20,0,1,4.7,1,5.9,6,3,7,False,True,False
79,80,18,1,0,5.9,1,5.2,5,4,9,False,False,True
80,81,21,0,2,3.0,0,7.1,8,1,4,False,True,False
81,82,19,1,1,4.8,1,5.7,6,3,7,False,False,True
82,83,20,0,1,3.8,0,6.6,7,2,6,False,False,True
83,84,22,1,2,2.7,0,7.2,8,1,4,False,True,False
84,85,18,0,0,5.6,1,5.3,5,4,8,True,False,False
85,86,21,1,1,4.5,1,5.8,6,3,7,False,False,True
86,87,19,0,0,5.3,1,5.5,5,4,8,False,False,True
87,88,23,1,2,2.6,0,7.3,8,1,4,False,True,False
88,89,20,0,1,4.4,1,6.0,6,3,7,False,True,False
89,90,18,1,0,5.8,1,5.2,5,4,9,False,False,True
90,91,22,0,2,2.9,0,7.0,7,2,5,False,False,True
91,92,19,1,1,4.7,1,5.8,6,3,7,False,False,True
92,93,21,0,1,3.7,0,6.5,7,2,6,True,False,False
93,94,20,1,0,5.5,1,5.4,5,4,8,False,False,True
94,95,23,0,2,2.4,0,7.4,8,1,4,False,True,False
95,96,19,1,1,4.9,1,5.7,6,3,7,False,False,True
96,97,18,0,0,5.7,1,5.3,5,4,8,True,False,False
97,98,22,1,2,2.8,0,7.1,8,1,4,False,True,False
98,99,20,0,1,4.6,1,5.9,6,3,7,False,False,True
99,100,21,1,1,5.4,1,5.5,5,4,8,False,False,True
100,101,19,0,0,5.8,1,5.2,5,4,9,False,True,False
101,102,23,1,2,2.5,0,7.3,8,1,4,False,True,False
102,103,20,0,1,4.7,1,5.8,6,3,7,False,False,True
103,104,18,1,0,5.6,1,5.4,5,4,8,False,False,True
104,105,22,0,2,2.9,0,7.0,7,2,5,False,True,False
105,106,19,1,1,4.8,1,5.7,6,3,7,False,False,True
106,107,21,0,1,3.8,0,6.6,7,2,6,False,True,False
107,108,20,1,0,5.5,1,5.5,5,4,8,True,False,False
108,109,23,0,2,2.6,0,7.2,8,1,4,False,True,False
109,110,19,1,1,4.9,1,5.8,6,3,7,False,False,True
110,111,20,0,1,6.1,1,6.2,5,4,8,False,False,True
111,112,21,1,1,5.8,1,5.9,6,3,7,False,False,True
112,113,19,0,1,4.9,0,7.1,7,2,5,False,False,True
113,114,22,1,2,5.5,1,6.0,5,4,8,False,False,True
114,115,20,0,1,5.2,1,6.3,6,3,7,False,False,True
115,116,19,1,1,4.8,0,7.2,8,2,5,False,False,True
116,117,21,0,2,6.0,1,5.8,5,4,8,False,False,True
117,118,20,1,1,5.7,1,6.1,6,3,7,False,False,True
118,119,22,0,2,4.7,0,7.3,7,2,5,False,False,True
119,120,19,1,1,5.4,1,6.2,5,4,8,False,False,True
120,121,20,0,1,5.9,1,5.9,6,3,7,False,False,True
121,122,21,1,2,4.6,0,7.4,8,2,5,False,False,True
122,123,19,0,1,5.3,1,6.3,5,4,8,False,False,True
123,124,22,1,2,5.8,1,5.8,6,3,7,False,False,True
124,125,20,0,1,4.5,0,7.5,7,2,5,False,False,True
125,126,21,1,2,5.2,1,6.4,5,4,8,False,False,True
126,127,19,0,1,5.7,1,5.7,6,3,7,False,False,True
127,128,20,1,1,4.4,0,7.6,8,2,5,False,False,True
128,129,22,0,2,5.1,1,6.5,5,4,8,False,False,True
129,130,21,1,2,5.6,1,5.6,6,3,7,False,False,True
130,131,19,0,1,4.3,0,7.7,7,2,5,False,False,True
131,132,20,1,1,5.0,1,6.6,5,4,8,False,False,True
132,133,22,0,2,5.5,1,5.5,6,3,7,False,False,True
133,134,21,1,2,4.2,0,7.8,8,2,5,False,False,True
134,135,19,0,1,4.9,1,6.7,5,4,8,False,False,True
135,136,20,1,1,5.4,1,5.4,6,3,7,False,False,True
136,137,22,0,2,4.1,0,7.9,7,2,5,False,False,True
137,138,21,1,2,4.8,1,6.8,5,4,8,False,False,True
138,139,19,0,1,5.3,1,5.3,6,3,7,False,False,True
139,140,20,1,1,4.0,0,8.0,8,2,5,False,False,True
140,141,22,0,2,4.7,1,6.9,5,4,8,False,False,True
141,142,21,1,2,5.2,1,5.2,6,3,7,False,False,True
142,143,19,0,1,3.9,0,8.1,7,2,5,False,False,True
143,144,20,1,1,4.6,1,7.0,5,4,8,False,False,True
144,145,22,0,2,5.1,1,5.1,6,3,7,False,False,True
145,146,21,1,2,3.8,0,8.2,8,2,5,False,False,True
146,147,19,0,1,4.5,1,7.1,5,4,8,False,False,True
147,148,20,1,1,5.0,1,5.0,6,3,7,False,False,True
148,149,22,0,2,3.7,0,8.3,7,2,5,False,False,True
149,150,21,1,2,4.4,1,7.2,5,4,8,False,False,True
150,151,19,0,1,4.9,1,4.9,6,3,7,False,False,True
151,152,20,1,1,3.6,0,8.4,8,2,5,False,False,True
152,153,22,0,2,4.3,1,7.3,5,4,8,False,False,True
153,154,21,1,2,4.8,1,4.8,6,3,7,False,False,True
154,155,19,0,1,3.5,0,8.5,7,2,5,False,False,True
155,156,20,1,1,4.2,1,7.4,5,4,8,False,False,True
156,157,22,0,2,4.7,1,4.7,6,3,7,False,False,True
157,158,21,1,2,3.4,0,8.6,8,2,5,False,False,True
158,159,19,0,1,4.1,1,7.5,5,4,8,False,False,True
159,160,20,1,1,4.6,1,4.6,6,3,7,False,False,True
160,161,19,1,1,5.3,1,6.1,5,3,7,False,False,True
161,162,21,0,2,4.8,0,7.2,7,2,6,False,False,True
162,163,20,1,1,5.5,1,5.9,6,4,8,False,False,True
163,164,22,0,2,4.7,1,6.3,5,3,7,False,False,True
164,165,19,1,1,5.1,0,7.0,7,2,5,False,False,True
165,166,21,0,2,5.4,1,6.0,6,4,8,False,False,True
166,167,20,1,1,4.9,1,6.4,5,3,7,False,False,True
167,168,22,0,2,5.2,0,7.1,7,2,6,False,False,True
168,169,19,1,1,5.6,1,5.8,6,4,8,False,False,True
169,170,21,0,2,4.6,1,6.5,5,3,7,False,False,True
170,171,20,1,1,5.0,0,7.3,7,2,5,False,False,True
171,172,22,0,2,5.3,1,5.7,6,4,8,False,False,True
172,173,19,1,1,4.8,1,6.6,5,3,7,False,False,True
173,174,21,0,2,5.1,0,7.4,7,2,6,False,False,True
174,175,20,1,1,5.7,1,5.6,6,4,8,False,False,True
175,176,22,0,2,4.5,1,6.7,5,3,7,False,False,True
176,177,19,1,1,4.9,0,7.5,7,2,5,False,False,True
177,178,21,0,2,5.2,1,5.5,6,4,8,False,False,True
178,179,20,1,1,4.7,1,6.8,5,3,7,False,False,True
179,180,22,0,2,5.0,0,7.6,7,2,6,False,False,True
180,181,19,1,1,5.8,1,5.4,6,4,8,False,False,True
181,182,21,0,2,4.4,1,6.9,5,3,7,False,False,True
182,183,20,1,1,4.8,0,7.7,7,2,5,False,False,True
183,184,22,0,2,5.1,1,5.3,6,4,8,False,False,True
184,185,19,1,1,4.6,1,7.0,5,3,7,False,False,True
185,186,21,0,2,4.9,0,7.8,7,2,6,False,False,True
186,187,20,1,1,5.9,1,5.2,6,4,8,False,False,True
187,188,22,0,2,4.3,1,7.1,5,3,7,False,False,True
188,189,19,1,1,4.7,0,7.9,7,2,5,False,False,True
189,190,21,0,2,5.0,1,5.1,6,4,8,False,False,True
190,191,20,1,1,4.5,1,7.2,5,3,7,False,False,True
191,192,22,0,2,4.8,0,8.0,7,2,6,False,False,True
192,193,19,1,1,6.0,1,5.0,6,4,8,False,False,True
193,194,21,0,2,4.2,1,7.3,5,3,7,False,False,True
194,195,20,1,1,4.6,0,8.1,7,2,5,False,False,True
195,196,22,0,2,4.9,1,4.9,6,4,8,False,False,True
196,197,19,1,1,4.4,1,7.4,5,3,7,False,False,True
197,198,21,0,2,4.7,0,8.2,7,2,6,False,False,True
198,199,20,1,1,6.1,1,4.8,6,4,8,False,False,True
199,200,22,0,2,4.1,1,7.5,5,3,7,False,False,True
200,201,19,1,1,4.5,0,8.3,7,2,5,False,False,True
201,202,21,0,2,4.8,1,4.7,6,4,8,False,False,True
202,203,20,1,1,4.3,1,7.6,5,3,7,False,False,True
203,204,22,0,2,4.6,0,8.4,7,2,6,False,False,True
204,205,19,1,1,6.2,1,4.6,6,4,8,False,False,True
205,206,21,0,2,4.0,1,7.7,5,3,7,False,False,True
206,207,20,1,1,4.4,0,8.5,7,2,5,False,False,True
207,208,22,0,2,4.7,1,4.5,6,4,8,False,False,True
208,209,19,1,1,4.2,1,7.8,5,3,7,False,False,True
209,210,21,0,2,4.5,0,8.6,7,2,6,False,False,True
210,211,20,1,1,6.3,1,4.4,6,4,8,False,False,True
211,212,22,0,2,3.9,1,7.9,5,3,7,False,False,True
212,213,19,1,1,4.3,0,8.7,7,2,5,False,False,True
213,214,21,0,2,4.6,1,4.3,6,4,8,False,False,True
214,215,20,1,1,4.1,1,8.0,5,3,7,False,False,True
215,216,22,0,2,4.4,0,8.8,7,2,6,False,False,True
216,217,19,1,1,6.4,1,4.2,6,4,8,False,False,True
217,218,21,0,2,3.8,1,8.1,5,3,7,False,False,True
218,219,20,1,1,4.2,0,8.9,7,2,5,False,False,True
219,220,22,0,2,4.5,1,4.1,6,4,8,False,False,True
220,221,19,1,1,6.5,1,6.0,5,4,9,False,False,True
221,222,21,0,2,5.8,1,6.5,6,3,7,False,False,True
222,223,20,1,1,4.5,0,7.5,8,2,5,False,False,True
223,224,22,0,2,4.2,0,7.8,7,2,4,False,False,True
224,225,19,1,1,3.8,0,7.9,8,1,3,True,False,False
225,226,21,0,2,5.5,1,6.8,6,3,7,False,False,True
226,227,20,1,1,5.2,1,6.5,6,3,6,True,False,False
227,228,22,0,2,4.8,0,7.2,7,2,5,False,False,True
228,229,19,1,1,7.0,1,5.8,4,4,9,False,False,True
229,230,21,0,2,5.5,1,6.7,6,3,7,False,False,True
230,231,20,1,1,4.7,0,7.4,7,2,5,False,False,True
231,232,22,0,2,4.0,0,7.9,8,1,4,False,False,True
232,233,19,1,1,3.5,0,8.0,8,1,3,True,False,False
233,234,21,0,2,5.7,1,6.5,5,3,8,False,False,True
234,235,20,1,1,5.0,1,6.8,6,3,6,True,False,False
235,236,22,0,2,4.5,0,7.4,7,2,5,False,False,True
236,237,19,1,1,6.8,1,5.9,4,4,9,False,False,True
237,238,21,0,2,5.6,1,6.6,6,3,7,False,False,True
238,239,20,1,1,4.6,0,7.3,7,2,5,False,False,True
239,240,22,0,2,4.1,0,7.7,8,2,4,False,False,True
240,241,19,1,1,3.7,0,7.8,8,1,3,True,False,False
241,242,21,0,2,5.4,1,6.7,5,3,7,False,False,True
242,243,20,1,1,5.1,1,6.6,6,3,6,True,False,False
243,244,22,0,2,4.7,0,7.3,7,2,5,False,False,True
244,245,19,1,1,6.9,1,5.7,4,4,9,False,False,True
245,246,21,0,2,5.7,1,6.4,6,3,7,False,False,True
246,247,20,1,1,4.8,0,7.2,7,2,5,False,False,True
247,248,22,0,2,3.9,0,7.8,8,1,4,False,False,True
248,249,19,1,1,3.6,0,8.1,8,1,3,True,False,False
249,250,21,0,2,5.6,1,6.6,5,3,8,False,False,True
250,251,20,1,1,4.9,1,6.9,6,3,6,True,False,False
251,252,22,0,2,4.6,0,7.5,7,2,5,False,False,True
252,253,19,1,1,6.7,1,5.8,4,4,9,False,False,True
253,254,21,0,2,5.4,1,6.5,6,3,7,False,False,True
254,255,20,1,1,4.4,0,7.4,7,2,5,False,False,True
255,256,22,0,2,4.0,0,7.6,8,2,4,False,False,True
256,257,19,1,1,3.4,0,8.2,8,1,3,True,False,False
257,258,21,0,2,5.3,1,6.8,5,3,7,False,False,True
258,259,20,1,1,5.0,1,6.7,6,3,6,True,False,False
259,260,22,0,2,4.4,0,7.6,7,2,5,False,False,True
260,261,19,1,1,6.6,1,5.6,4,4,9,False,False,True
261,262,21,0,2,5.3,1,6.3,6,3,7,False,False,True
262,263,20,1,1,4.3,0,7.5,7,2,5,False,False,True
263,264,22,0,2,3.8,0,7.7,8,1,4,False,False,True
264,265,19,1,1,3.3,0,8.3,8,1,3,True,False,False
265,266,21,0,2,5.2,1,6.9,5,3,8,False,False,True
266,267,20,1,1,4.8,1,7.0,6,3,6,True,False,False
267,268,22,0,2,4.3,0,7.7,7,2,5,False,False,True
268,269,19,1,1,6.4,1,5.7,4,4,9,False,False,True
269,270,21,0,2,5.2,1,6.4,6,3,7,False,False,True
270,271,20,1,1,4.5,0,7.3,7,2,5,False,False,True
271,272,22,0,2,3.7,0,7.8,8,1,4,False,False,True
272,273,19,1,1,3.2,0,8.4,8,1,3,True,False,False
273,274,21,0,2,5.4,1,6.7,5,3,7,False,False,True
274,275,20,1,1,4.7,1,7.1,6,3,6,True,False,False
275,276,22,0,2,4.2,0,7.8,7,2,5,False,False,True
276,277,19,1,1,6.6,1,5.5,4,4,9,False,False,True
277,278,21,0,2,5.1,1,6.5,6,3,7,False,False,True
278,279,20,1,1,4.4,0,7.4,7,2,5,False,False,True
279,280,22,0,2,3.6,0,7.9,8,1,4,False,False,True
280,281,19,1,1,3.1,0,8.5,8,1,3,True,False,False
281,282,21,0,2,5.3,1,6.8,5,3,8,False,False,True
282,283,20,1,1,4.6,1,7.2,6,3,6,True,False,False
283,284,22,0,2,4.1,0,7.9,7,2,5,False,False,True
284,285,19,1,1,6.7,1,5.4,4,4,9,False,False,True
285,286,21,0,2,5.0,1,6.6,6,3,7,False,False,True
286,287,20,1,1,4.3,0,7.5,7,2,5,False,False,True
287,288,22,0,2,3.5,0,8.0,8,1,4,False,False,True
288,289,19,1,1,3.0,0,8.6,8,1,3,True,False,False
289,290,21,0,2,5.2,1,6.9,5,3,7,False,False,True
290,291,20,1,1,4.5,1,7.3,6,3,6,True,False,False
291,292,22,0,2,4.0,0,8.0,7,2,5,False,False,True
292,293,19,1,1,6.8,1,5.3,4,4,9,False,False,True
293,294,21,0,2,4.9,1,6.7,6,3,7,False,False,True
294,295,20,1,1,4.2,0,7.6,7,2,5,False,False,True
295,296,22,0,2,3.4,0,8.1,8,1,4,False,False,True
296,297,19,1,1,2.9,0,8.7,8,1,3,True,False,False
297,298,21,0,2,5.1,1,7.0,5,3,8,False,False,True
298,299,20,1,1,4.4,1,7.4,6,3,6,True,False,False
299,300,22,0,2,3.9,0,8.1,7,2,5,False,False,True
300,301,19,1,1,6.9,1,5.2,4,4,9,False,False,True
301,302,21,0,2,4.8,1,6.8,6,3,7,False,False,True
302,303,20,1,1,4.1,0,7.7,7,2,5,False,False,True
303,304,22,0,2,3.3,0,8.2,8,1,4,False,False,True
304,305,19,1,1,2.8,0,8.8,8,1,3,True,False,False
305,306,21,0,2,5.0,1,7.1,5,3,7,False,False,True
306,307,20,1,1,4.3,1,7.5,6,3,6,True,False,False
307,308,22,0,2,3.8,0,8.2,7,2,5,False,False,True
308,309,19,1,1,7.0,1,5.1,4,4,9,False,False,True
309,310,21,0,2,4.7,1,6.9,6,3,7,False,False,True
310,311,20,1,1,4.0,0,7.8,7,2,5,False,False,True
311,312,22,0,2,3.2,0,8.3,8,1,4,False,False,True
312,313,19,1,1,2.7,0,8.9,8,1,3,True,False,False
313,314,21,0,2,4.9,1,7.2,5,3,8,False,False,True
314,315,20,1,1,4.2,1,7.6,6,3,6,True,False,False
315,316,22,0,2,3.7,0,8.3,7,2,5,False,False,True
316,317,19,1,1,7.1,1,5.0,4,4,9,False,False,True
317,318,21,0,2,4.6,1,7.0,6,3,7,False,False,True
318,319,20,1,1,3.9,0,7.9,7,2,5,False,False,True
319,320,22,0,2,3.1,0,8.4,8,1,4,False,False,True
320,321,19,1,1,5.2,1,6.8,6,3,7,False,False,True
321,322,21,0,2,4.1,0,7.8,8,2,4,False,False,True
322,323,20,1,1,5.0,1,7.0,7,3,6,False,False,True
323,324,22,0,2,5.8,1,6.5,5,4,8,True,False,False
324,325,19,1,1,4.0,0,7.9,8,2,4,False,False,True
325,326,21,0,2,5.5,1,6.7,6,3,7,False,False,True
326,327,20,1,1,6.8,1,5.5,5,4,9,False,False,True
327,328,22,0,2,5.6,1,6.6,6,3,7,True,False,False
328,329,19,1,1,4.5,0,7.5,7,2,5,False,False,True
329,330,21,0,2,5.3,1,6.9,6,3,7,False,False,True
330,331,20,1,1,5.1,1,6.7,6,3,7,False,False,True
331,332,22,0,2,3.9,0,7.9,8,2,4,False,False,True
332,333,19,1,1,4.8,1,7.1,7,3,6,False,False,True
333,334,21,0,2,5.9,1,6.4,5,4,8,True,False,False
334,335,20,1,1,3.8,0,8.0,8,2,4,False,False,True
335,336,22,0,2,5.4,1,6.8,6,3,7,False,False,True
336,337,19,1,1,6.9,1,5.4,5,4,9,False,False,True
337,338,21,0,2,5.7,1,6.5,6,3,7,True,False,False
338,339,20,1,1,4.4,0,7.6,7,2,5,False,False,True
339,340,22,0,2,5.2,1,7.0,6,3,7,False,False,True
340,341,19,1,1,5.0,1,6.9,6,3,7,False,False,True
341,342,21,0,2,3.8,0,8.0,8,2,4,False,False,True
342,343,20,1,1,4.7,1,7.2,7,3,6,False,False,True
343,344,22,0,2,6.0,1,6.3,5,4,8,True,False,False
344,345,19,1,1,3.7,0,8.1,8,2,4,False,False,True
345,346,21,0,2,5.3,1,6.9,6,3,7,False,False,True
346,347,20,1,1,7.0,1,5.3,5,4,9,False,False,True
347,348,22,0,2,5.8,1,6.4,6,3,7,True,False,False
348,349,19,1,1,4.3,0,7.7,7,2,5,False,False,True
349,350,21,0,2,5.1,1,7.1,6,3,7,False,False,True
350,351,20,1,1,4.9,1,7.0,6,3,7,False,False,True
351,352,22,0,2,3.7,0,8.1,8,2,4,False,False,True
352,353,19,1,1,4.6,1,7.3,7,3,6,False,False,True
353,354,21,0,2,6.1,1,6.2,5,4,8,True,False,False
354,355,20,1,1,3.6,0,8.2,8,2,4,False,False,True
355,356,22,0,2,5.2,1,7.0,6,3,7,False,False,True
356,357,19,1,1,7.1,1,5.2,5,4,9,False,False,True
357,358,21,0,2,5.9,1,6.3,6,3,7,True,False,False
358,359,20,1,1,4.2,0,7.8,7,2,5,False,False,True
359,360,22,0,2,5.0,1,7.2,6,3,7,False,False,True
360,361,19,1,1,4.8,1,7.1,6,3,7,False,False,True
361,362,21,0,2,3.6,0,8.2,8,2,4,False,False,True
362,363,20,1,1,4.5,1,7.4,7,3,6,False,False,True
363,364,22,0,2,6.2,1,6.1,5,4,8,True,False,False
364,365,19,1,1,3.5,0,8.3,8,2,4,False,False,True
365,366,21,0,2,5.1,1,7.1,6,3,7,False,False,True
366,367,20,1,1,7.2,1,5.1,5,4,9,False,False,True
367,368,22,0,2,6.0,1,6.2,6,3,7,True,False,False
368,369,19,1,1,4.1,0,7.9,7,2,5,False,False,True
369,370,21,0,2,4.9,1,7.3,6,3,7,False,False,True
370,371,20,1,1,4.7,1,7.2,6,3,7,False,False,True
371,372,22,0,2,3.5,0,8.3,8,2,4,False,False,True
372,373,19,1,1,4.4,1,7.5,7,3,6,False,False,True
373,374,21,0,2,6.3,1,6.0,5,4,8,True,False,False
374,375,20,1,1,3.4,0,8.4,8,2,4,False,False,True
375,376,22,0,2,5.0,1,7.2,6,3,7,False,False,True
376,377,19,1,1,7.3,1,5.0,5,4,9,False,False,True
377,378,21,0,2,6.1,1,6.1,6,3,7,True,False,False
378,379,20,1,1,4.0,0,8.0,7,2,5,False,False,True
379,380,22,0,2,4.8,1,7.4,6,3,7,False,False,True
380,381,19,1,1,4.6,1,7.3,6,3,7,False,False,True
381,382,21,0,2,3.4,0,8.4,8,2,4,False,False,True
382,383,20,1,1,4.3,1,7.6,7,3,6,False,False,True
383,384,22,0,2,6.4,1,5.9,5,4,8,True,False,False
384,385,19,1,1,3.3,0,8.5,8,2,4,False,False,True
385,386,21,0,2,4.9,1,7.3,6,3,7,False,False,True
386,387,20,1,1,7.4,1,4.9,5,4,9,False,False,True
387,388,22,0,2,6.2,1,6.0,6,3,7,True,False,False
388,389,19,1,1,3.9,0,8.1,7,2,5,False,False,True
389,390,21,0,2,4.7,1,7.5,6,3,7,False,False,True
390,391,20,1,1,4.5,1,7.4,6,3,7,False,False,True
391,392,22,0,2,3.3,0,8.5,8,2,4,False,False,True
392,393,19,1,1,4.2,1,7.7,7,3,6,False,False,True
393,394,21,0,2,6.5,1,5.8,5,4,8,True,False,False
394,395,20,1,1,3.2,0,8.6,8,2,4,False,False,True
395,396,22,0,2,4.8,1,7.4,6,3,7,False,False,True
396,397,19,1,1,7.5,1,4.8,5,4,9,False,False,True
397,398,21,0,2,6.3,1,5.9,6,3,7,True,False,False
398,399,20,1,1,3.8,0,8.2,7,2,5,False,False,True
399,400,22,0,2,4.6,1,7.6,6,3,7,False,False,True
400,401,19,1,1,4.4,1,7.5,6,3,7,False,False,True
401,402,21,0,2,3.2,0,8.6,8,2,4,False,False,True
402,403,20,1,1,4.1,1,7.8,7,3,6,False,False,True
403,404,22,0,2,6.6,1,5.7,5,4,8,True,False,False
404,405,19,1,1,3.1,0,8.7,8,2,4,False,False,True
405,406,21,0,2,4.7,1,7.5,6,3,7,False,False,True
406,407,20,1,1,7.6,1,4.7,5,4,9,False,False,True
407,408,22,0,2,6.4,1,5.8,6,3,7,True,False,False
408,409,19,1,1,3.7,0,8.3,7,2,5,False,False,True
409,410,21,0,2,4.5,1,7.7,6,3,7,False,False,True
410,411,20,1,1,4.3,1,7.6,6,3,7,False,False,True
411,412,22,0,2,3.1,0,8.7,8,2,4,False,False,True
412,413,19,1,1,4.0,1,7.9,7,3,6,False,False,True
413,414,21,0,2,6.7,1,5.6,5,4,8,True,False,False
414,415,20,1,1,3.0,0,8.8,8,2,4,False,False,True
415,416,22,0,2,4.6,1,7.6,6,3,7,False,False,True
416,417,19,1,1,7.7,1,4.6,5,4,9,False,False,True
417,418,21,0,2,6.5,1,5.7,6,3,7,True,False,False
418,419,20,1,1,3.6,0,8.4,7,2,5,False,False,True
419,420,22,0,2,4.4,1,7.8,6,3,7,False,False,True
420,421,19,1,1,4.2,1,7.7,6,3,7,False,False,True
421,422,21,0,2,3.0,0,8.8,8,2,4,False,False,True
422,423,20,1,1,3.9,1,8.0,7,3,6,False,False,True
423,424,22,0,2,6.8,1,5.5,5,4,8,True,False,False
424,425,19,1,1,2.9,0,8.9,8,2,4,False,False,True
425,426,21,0,2,4.5,1,7.7,6,3,7,False,False,True
426,427,20,1,1,7.8,1,4.5,5,4,9,False,False,True
427,428,22,0,2,6.6,1,5.6,6,3,7,True,False,False
428,429,19,1,1,3.5,0,8.5,7,2,5,False,False,True
